evidence_id,product_scope,evidence_label,research_status,claim_or_object,input_sources,metric,value,derivation_method,statistical_integrity_status,analysis_script_ref,exact_command,notes
S9T-011,MANUSCRIPT_EVIDENCE;AUDIT_HISTORY,DERIVED,POST_HOC_EXPLORATORY,Phase 1 recompute-status count: MEAN_DIFF_MATCH_FROM_RAW,local-sha256:368dc5acf4b6f9ed10d53df5a710178874ffa697cb38aef7a1d460c2a6909b2a:paper_notes/PHASE1_TABLES.csv:L1-L481,recompute_status=MEAN_DIFF_MATCH_FROM_RAW,132,GROUP_COUNT_FROM_CSV,MEAN_OR_MEAN_DIFF_MATCHED_FROM_RAW,local-sha256:4a676e702609ccb35915a8698c1ecca458d7d1afb7ae3d3723d6c219c0d848e8:paper_notes/stage9_statistical_integrity_audit.mjs:L1-L300,node paper_notes/stage9_statistical_integrity_audit.mjs paper_notes/STAGE9_STATISTICAL_INTEGRITY_TABLES_20260618T092317Z.csv,"This audits deterministic means and mean differences, not bootstrap resampling."
S9T-012,MANUSCRIPT_EVIDENCE;AUDIT_HISTORY,DERIVED,POST_HOC_EXPLORATORY,Phase 1 recompute-status count: MEAN_MATCH_FROM_RAW,local-sha256:368dc5acf4b6f9ed10d53df5a710178874ffa697cb38aef7a1d460c2a6909b2a:paper_notes/PHASE1_TABLES.csv:L1-L481,recompute_status=MEAN_MATCH_FROM_RAW,348,GROUP_COUNT_FROM_CSV,MEAN_OR_MEAN_DIFF_MATCHED_FROM_RAW,local-sha256:4a676e702609ccb35915a8698c1ecca458d7d1afb7ae3d3723d6c219c0d848e8:paper_notes/stage9_statistical_integrity_audit.mjs:L1-L300,node paper_notes/stage9_statistical_integrity_audit.mjs paper_notes/STAGE9_STATISTICAL_INTEGRITY_TABLES_20260618T092317Z.csv,"This audits deterministic means and mean differences, not bootstrap resampling."
S9T-013,MANUSCRIPT_EVIDENCE;AUDIT_HISTORY,DERIVED,POST_HOC_EXPLORATORY,Phase 1 recompute mismatch/not-found row count,local-sha256:368dc5acf4b6f9ed10d53df5a710178874ffa697cb38aef7a1d460c2a6909b2a:paper_notes/PHASE1_TABLES.csv:L1-L481,recompute_status contains MISMATCH or NOT_FOUND,0,FILTER_COUNT_FROM_CSV,NO_DETERMINISTIC_RECOMPUTE_FAILURE_ROWS,local-sha256:4a676e702609ccb35915a8698c1ecca458d7d1afb7ae3d3723d6c219c0d848e8:paper_notes/stage9_statistical_integrity_audit.mjs:L1-L300,node paper_notes/stage9_statistical_integrity_audit.mjs paper_notes/STAGE9_STATISTICAL_INTEGRITY_TABLES_20260618T092317Z.csv,This does not close the Stage 6 independent-resampling gap.
S9T-014,MANUSCRIPT_EVIDENCE;AUDIT_HISTORY,UNRESOLVED,POST_HOC_EXPLORATORY,Phase 1 statistical-source note count,local-sha256:368dc5acf4b6f9ed10d53df5a710178874ffa697cb38aef7a1d460c2a6909b2a:paper_notes/PHASE1_TABLES.csv:L1-L481,notes=CI copied from analysis CSV; bootstrap interval not independently recomputed in Stage 6.,348,GROUP_COUNT_FROM_CSV,BOOTSTRAP_AND_TEST_OUTPUTS_NOT_INDEPENDENTLY_RESAMPLED,local-sha256:4a676e702609ccb35915a8698c1ecca458d7d1afb7ae3d3723d6c219c0d848e8:paper_notes/stage9_statistical_integrity_audit.mjs:L1-L300,node paper_notes/stage9_statistical_integrity_audit.mjs paper_notes/STAGE9_STATISTICAL_INTEGRITY_TABLES_20260618T092317Z.csv,Rows copy CI and/or p/q fields from analysis CSVs.
S9T-015,MANUSCRIPT_EVIDENCE;AUDIT_HISTORY,UNRESOLVED,POST_HOC_EXPLORATORY,Phase 1 statistical-source note count,local-sha256:368dc5acf4b6f9ed10d53df5a710178874ffa697cb38aef7a1d460c2a6909b2a:paper_notes/PHASE1_TABLES.csv:L1-L481,notes=p/q/CI copied from analysis CSV; statistical resampling not independently recomputed in Stage 6.,132,GROUP_COUNT_FROM_CSV,BOOTSTRAP_AND_TEST_OUTPUTS_NOT_INDEPENDENTLY_RESAMPLED,local-sha256:4a676e702609ccb35915a8698c1ecca458d7d1afb7ae3d3723d6c219c0d848e8:paper_notes/stage9_statistical_integrity_audit.mjs:L1-L300,node paper_notes/stage9_statistical_integrity_audit.mjs paper_notes/STAGE9_STATISTICAL_INTEGRITY_TABLES_20260618T092317Z.csv,Rows copy CI and/or p/q fields from analysis CSVs.
S9T-016,AUDIT_HISTORY,SUPERSEDED,NOT_APPLICABLE,Phase 2 v5 job-inventory limitation remains superseded,local-sha256:0c78a5971e1019354be336ed5dc84fac7c0db662ed78dee1718be678dc0aa058:paper_notes/PHASE2_ACTIONS_STAGE8.csv:L1-L10; local-sha256:8b80dd33ef399d80b14a16b49f63d9095a3e28a03abfc51974b275e33f389f96:paper_notes/PHASE2_ACTIONS_STAGE8_JOBS.csv:L1-L243,"job_count(all_jobs,adapt,clean,aggregate,compile)",all_jobs=242; adapt=180; clean=60; aggregate=1; compile=1,DIRECT_FROM_ACTIONS_CAPTURE,JOB_INVENTORY_NOT_REOPENED,local-sha256:4a676e702609ccb35915a8698c1ecca458d7d1afb7ae3d3723d6c219c0d848e8:paper_notes/stage9_statistical_integrity_audit.mjs:L1-L300,node paper_notes/stage9_statistical_integrity_audit.mjs paper_notes/STAGE9_STATISTICAL_INTEGRITY_TABLES_20260618T092317Z.csv,Remaining workflow provenance gaps are dispatch inputs and artifact ZIP byte identity.
S9T-017,AUDIT_HISTORY;MANUSCRIPT_EVIDENCE,UNRESOLVED,UNRESOLVED,Phase 2 artifact ZIP byte identity,local-sha256:0c78a5971e1019354be336ed5dc84fac7c0db662ed78dee1718be678dc0aa058:paper_notes/PHASE2_ACTIONS_STAGE8.csv:L1-L10,artifact_zip_identity,NOT VERIFIED; gh auth token returned no oauth token found for github.com; curl artifact ZIP download failed with exit 35 before usable archive; scratch directory paper_notes/stage8_phase2_artifact_27547019772 exists but contains no files,DIRECT_FROM_ACTIONS_CAPTURE,ZIP_BYTE_IDENTITY_NOT_VERIFIED,local-sha256:4a676e702609ccb35915a8698c1ecca458d7d1afb7ae3d3723d6c219c0d848e8:paper_notes/stage9_statistical_integrity_audit.mjs:L1-L300,node paper_notes/stage9_statistical_integrity_audit.mjs paper_notes/STAGE9_STATISTICAL_INTEGRITY_TABLES_20260618T092317Z.csv,Artifact digest metadata is recorded separately; local ZIP byte verification remains unresolved.
S9T-018,AUDIT_HISTORY;MANUSCRIPT_EVIDENCE,UNRESOLVED,UNRESOLVED,Phase 2 workflow_dispatch input payload,local-sha256:0c78a5971e1019354be336ed5dc84fac7c0db662ed78dee1718be678dc0aa058:paper_notes/PHASE2_ACTIONS_STAGE8.csv:L1-L10,workflow_dispatch.inputs,NOT FOUND,DIRECT_GAP_RECORD,DISPATCH_INPUT_PAYLOAD_NOT_FOUND,local-sha256:4a676e702609ccb35915a8698c1ecca458d7d1afb7ae3d3723d6c219c0d848e8:paper_notes/stage9_statistical_integrity_audit.mjs:L1-L300,node paper_notes/stage9_statistical_integrity_audit.mjs paper_notes/STAGE9_STATISTICAL_INTEGRITY_TABLES_20260618T092317Z.csv,"Run metadata row: id=27547019772; workflow=Phase 2 (fault detection, blacklist, re-learn); event=workflow_dispatch; status=completed; conclusion=success; headBranch=phase2-fault-detection; headSha=985c7a18558b6d5cb96c018a395b0aae6389f410; attempt=2; createdAt=2026-06-15T12:43:10Z; updatedAt=2026-06-15T18:31:44Z; url=https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772"
S9T-019,AUDIT_HISTORY;MANUSCRIPT_EVIDENCE,UNRESOLVED,UNRESOLVED,Formal post-pivot preregistration,local-sha256:d4d8ea8e75427737f2818cbadbea1e803bb1f53f197301a6b7f2b9655a0b1c26:paper_notes/EVIDENCE_GAPS.md:L1-L885,formal_post_pivot_preregistration,NOT FOUND,DIRECT_GAP_RECORD,DO_NOT_PROMOTE_TO_PREREGISTERED_CONFIRMATORY,local-sha256:4a676e702609ccb35915a8698c1ecca458d7d1afb7ae3d3723d6c219c0d848e8:paper_notes/stage9_statistical_integrity_audit.mjs:L1-L300,node paper_notes/stage9_statistical_integrity_audit.mjs paper_notes/STAGE9_STATISTICAL_INTEGRITY_TABLES_20260618T092317Z.csv,Stage 9 preserves existing gap status.
S9T-020,AUDIT_HISTORY;MANUSCRIPT_EVIDENCE,UNRESOLVED,UNRESOLVED,Lab3 stale-magnitude documentation and dirty-doc numeric-source limits,local-sha256:d4d8ea8e75427737f2818cbadbea1e803bb1f53f197301a6b7f2b9655a0b1c26:paper_notes/EVIDENCE_GAPS.md:L1-L885,lab3_stale_magnitude; dirty_doc_numeric_source_limits,ACTIVE,DIRECT_GAP_RECORD,NUMERIC_MANUSCRIPT_VALUES_REQUIRE_PRIMARY_RESULT_ROWS,local-sha256:4a676e702609ccb35915a8698c1ecca458d7d1afb7ae3d3723d6c219c0d848e8:paper_notes/stage9_statistical_integrity_audit.mjs:L1-L300,node paper_notes/stage9_statistical_integrity_audit.mjs paper_notes/STAGE9_STATISTICAL_INTEGRITY_TABLES_20260618T092317Z.csv,Dirty docs remain routing/history sources only.
S9T-021,MANUSCRIPT_EVIDENCE;AUDIT_HISTORY,DERIVED,ENGINEERING_VALIDATION,Phase 2 base and R2 table byte identity,local-sha256:bc961fae6f9f4420a15c6442a2b92851bdd0e44357832868bc39d289d84350df:paper_notes/PHASE2_TABLES.csv:L1-L522; local-sha256:bc961fae6f9f4420a15c6442a2b92851bdd0e44357832868bc39d289d84350df:paper_notes/PHASE2_TABLES_R2_20260618T090000Z.csv:L1-L522,sha256(PHASE2_TABLES.csv)==sha256(PHASE2_TABLES_R2_20260618T090000Z.csv),true,HASH_COMPARISON,R2_TABLE_BYTE_IDENTICAL_TO_STAGE8_BASE_TABLE,local-sha256:4a676e702609ccb35915a8698c1ecca458d7d1afb7ae3d3723d6c219c0d848e8:paper_notes/stage9_statistical_integrity_audit.mjs:L1-L300,node paper_notes/stage9_statistical_integrity_audit.mjs paper_notes/STAGE9_STATISTICAL_INTEGRITY_TABLES_20260618T092317Z.csv,hash=bc961fae6f9f4420a15c6442a2b92851bdd0e44357832868bc39d289d84350df
